,23,1,4,39,13,1,5,<=50K,2174,0,40,77516
,34,1,4,39,13,4,2,<=50K,0,0,13,83311
,22,1,4,39,9,6,4,<=50K,0,0,40,215646
,37,1,3,39,7,6,2,<=50K,0,0,40,234721
,12,2,3,5,13,10,2,<=50K,0,0,40,338409
,21,2,4,39,14,4,2,<=50K,0,0,40,284582
,33,2,3,23,5,8,3,<=50K,0,0,16,160187
,36,1,4,39,9,4,2,>50K,0,0,45,209642
,15,2,4,39,14,10,5,>50K,14084,0,50,45781
,26,1,4,39,13,4,2,>50K,5178,0,40,159449
,21,1,3,39,10,4,2,>50K,0,0,80,280464
,14,1,2,19,13,10,2,>50K,0,0,40,141297
,7,2,4,39,13,1,5,<=50K,0,0,30,122272
,16,1,3,39,12,12,5,<=50K,0,0,50,205019
,24,1,2,42,11,3,2,>50K,0,0,40,121772
,18,1,1,26,4,14,2,<=50K,0,0,45,245487
,9,1,4,39,9,5,5,<=50K,0,0,35,176756
,16,1,4,39,9,7,5,<=50K,0,0,40,186824
,22,1,4,39,7,12,2,<=50K,0,0,50,28887
,27,2,4,39,14,4,4,>50K,0,0,45,292175
,24,1,4,39,16,10,2,>50K,0,0,60,193524
,38,2,3,39,9,8,6,<=50K,0,0,20,302146
,19,1,3,39,5,5,2,<=50K,0,0,40,76845
,27,1,4,39,7,14,2,<=50K,0,2042,40,117037
,43,2,4,39,9,13,4,<=50K,0,0,40,109015
,40,1,4,39,13,13,2,>50K,0,0,40,216851
,3,1,4,39,9,3,5,<=50K,0,0,40,168294
,38,1,2,35,10,15,2,>50K,0,0,60,180211
,23,1,4,39,9,4,4,<=50K,0,0,80,367260
,33,1,4,39,9,3,2,<=50K,0,0,40,193366
,7,1,4,39,12,11,5,<=50K,0,0,52,190709
,4,1,3,39,10,12,5,<=50K,0,0,44,266015
,29,1,4,39,13,4,4,<=50K,0,1408,40,386940
,14,1,4,39,10,1,2,<=50K,0,0,40,59951
,6,1,3,39,10,8,2,<=50K,0,0,15,311512
,32,1,4,33,7,7,5,<=50K,0,0,40,242406
,5,1,4,39,10,7,5,<=50K,0,0,40,197200
,3,2,4,39,9,1,1,<=50K,0,0,25,544091
,15,1,4,42,10,12,2,>50K,0,0,38,84154
,32,1,4,39,12,10,2,<=50K,0,0,40,265477
,15,1,4,39,5,7,2,<=50K,0,0,43,507875
,37,1,4,39,13,10,2,<=50K,0,0,40,88506
,8,1,4,39,13,13,2,<=50K,0,0,50,172987
,33,2,4,39,9,1,6,<=50K,0,0,40,94638
,9,1,4,39,9,6,5,<=50K,0,0,35,289980
,41,1,3,39,13,10,2,>50K,0,0,40,337895
,37,1,4,39,9,7,2,<=50K,0,0,38,144361
,28,2,4,39,14,4,4,<=50K,0,0,40,128354
,25,1,4,39,11,3,2,<=50K,0,0,40,101603
,13,1,4,39,11,10,5,<=50K,0,0,43,271466
,9,2,5,39,10,4,2,<=50K,0,0,40,32275
,2,2,4,42,9,8,5,<=50K,0,0,30,226956
,31,2,4,16,15,10,2,>50K,0,1902,60,51835
,34,1,4,39,13,4,4,>50K,0,0,55,251585
,31,1,4,39,9,4,4,<=50K,0,0,60,109832
,27,1,4,39,10,13,2,>50K,0,0,40,237993
,30,1,4,26,3,7,2,<=50K,0,0,40,216666
,19,1,4,33,11,8,2,<=50K,0,0,40,56352
,25,1,4,39,9,1,2,<=50K,0,0,48,147372
,14,1,4,39,9,7,2,<=50K,5013,0,40,188146
,14,1,4,39,13,12,2,<=50K,2407,0,40,59496
,16,1,4,42,4,15,3,<=50K,0,0,40,293936
,32,1,4,39,9,14,2,<=50K,0,0,40,149640
,26,1,4,39,16,10,2,>50K,0,0,45,116632
,13,1,4,39,10,13,4,<=50K,0,0,58,105598
,20,1,4,39,9,3,2,<=50K,0,0,40,155537
,12,2,4,39,10,1,4,<=50K,0,0,40,183175
,37,2,4,39,9,1,2,>50K,0,0,40,169846
,33,1,4,39,10,4,2,>50K,0,0,50,191681
,9,1,4,39,10,15,5,<=50K,0,0,40,200681
